,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Category,Desc
601,0060970790,The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,1987,Harpercollins,Mental illness,"Clinical tales, case history, neurological disorders, author of Awakening and a Leg to stand on Oliver Sacks."
602,0156787334,A Room of One's Own,Virginia Woolf,1989,Harcourt,Child development,
603,0553299506,Private Eyes (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1992,Bantam Books,Child psychologists,"The voice belongs to a woman, but Dr. Alex Delaware remembers a little girl. It is eleven years since seven-years-old Melissa Dickinson dialed a hospital help line for comfort--and found it in therapy with Alex Delaware. Now the lovely young heiress is desperately calling for psychologist's help once more. Only this time it looks like Melissa's deepest childhood nightmare is really coming true ... Twenty years ago, Gina Dickinson, Melissa's mother, suffered a grisly assault that left the budding actress irreparably scarred and emotionally crippled. Now her acid-wielding assailant is out of prison and back in L.A.--and Melissa is terrified that the monster has returned to hurt Gina again. But before Alex Delaware can even begin to soothe his former patient's fears, Gina, a recluse for twenty, disappears. And now, unless Delaware turns crack detective to uncover the truth, Gina Dickinson will be just one more victim of a cold fury that has already spawned madness--and murder. From the Paperback edition."
604,0446611611,City of Bones,Michael Connelly,2003,Warner Books,Fiction,"On New Year's Day, a dog finds a bone in the Hollywood Hills--and unearths a murder committed more than twenty years earlier. It's a cold case, but for Detective Harry Bosch, it stirs up memories of his childhood as an orphan. He can't let it go. As the investigation takes Bosch deeper into the past, a beautiful rookie cop brings him alive in the present. No official warning can break them apart--or prepare Bosch for the explosions when the case takes a few hard turns. Suddenly all of L.A. is in an uproar, and Bosch, fighting to keep control, is driven to the brink of an unimaginable decision."
605,0446604658,Lucky You,Carl Hiaasen,1998,Warner Vision,,
606,0553282476,CAT'S EYE,MARGARET ATWOOD,1989,Bantam,Fiction,"Years after painter Elaine Risley flees Toronto for Vancouver, she returns to search for long-missing parts of her life and pursue the elusive Cordelia, her best friend and sometimes enemy"
607,0449212602,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,British and Irish fiction (Fictional works by one author).,"""Splendid."" NEWSWEEK It is the world of the near future, and Offred is a Handmaid in the home of the Commander and his wife. She is allowed out once a day to the food market, she is not permitted to read, and she is hoping the Commander makes her pregnant, because she is only valued if her ovaries are viable. Offred can remember the years before, when she was an independent woman, had a job of her own, a husband and child. But all of that is gone now...everything has changed. ""Deserves the highest praise."" SAN FRANCISCO CHRONICLE From the Paperback edition."
608,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,Fiction,"From international bestseller Stephen King, a classic story that engages our emotions on the most primal level, a fairy tale grimmer than Grimm but aglow with a girl’s indomitable spirit. What if the woods were full of them? And of course they were, the woods were full of everything you didn’t like, everything you were afraid of and instinctively loathed, everything that tried to overwhelm you with nasty, no-brain panic. The brochure promised a “moderate-to-difficult” six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, where nine-year-old Trisha McFarland was to spend Saturday with her older brother Pete and her recently divorced mother. When she wanders off to escape their constant bickering, then tries to catch up by attempting a shortcut through the woods, Trisha strays deeper into a wilderness full of peril and terror. Especially when night falls. Trisha has only her wits for navigation, only her ingenuity as a defense against the elements, only her courage and faith to withstand her mounting fear. For solace she tunes her Walkman to broadcasts of Boston Red Sox games and the gritty performances of her hero, number thirty-six, relief pitcher Tom Gordon. And when her radio’s reception begins to fade, Trisha imagines that Tom Gordon is with her—her key to surviving an enemy known only by the slaughtered animals and mangled trees in its wake."
609,0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books,Fiction,"When Los Angeles psychologist and sleuth Alex Delaware becomes embroiled in a long-unsolved case of brutal murder, he finds his own life and that of his longtime friend, homicide detective Milo Sturgis, at stake. Reprint."
610,0590634275,Captain Underpants and the Attack of the Talking Toilets: Another Epic Novel (Captain Underpants (Paper)),Dav Pilkey,1999,Scholastic,,
611,3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc,Fiction,"Ein rares Meisterwerk zeitgenössischer Prosa, eine dicht gesponnene, psychologisch raffiniert umgesetzte Erzählung, die an die frühen Stücke von Patricia Highsmith erinnert, in ihrer Kunstfertigkeit aber an die Novellistik großer europäischer Erzähltradition anknüpft."
612,0553582143,Body of Lies,IRIS JOHANSEN,2003,Bantam,Fiction,"When a government official requests her skills at reconstruction to identify an unknown murder victim, forensic sculptor Eve Duncan is drawn into a web of betrayal and murder as she tries to unlock the secrets that someone wants to keep hidden."
613,0060002492,Amazonia,James Rollins,2003,Avon Books,,
614,0679426159,Standing in the Rainbow : A Novel,FANNIE FLAGG,2002,Random House,Fiction,"Captures the humorous and complex realities of ordinary people living in Elmwood Springs, Missouri, including Neighbor Dorothy, a radio hostess, her son Bobby, the Oatman Family gospel singers, and hotshot salesman Hamm Sparks."
615,0671020315,Raven (Orphans),V.C. Andrews,1998,Pocket,Fiction,"Living with her kindly aunt and domineering uncle, Raven is threatened by humiliating secrets from her past which could ruin her dream of belonging to a real family."
616,0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown",,
617,067169071X,EVERYTHING SHE EVER WANTED,Ann Rule,1993,Pocket,True Crime,"The story of a southern belle gone wrong presents the shocking tale of Patricia Vann Radcliffe Taylor Allanson, who tried to murder members of her own family to get what she wanted"
618,0679732241,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage,African American women cooks,
619,0515090174,The Cat Who Could Read Backwards,Lilian Jackson Braun,1994,Jove Books,Fiction,"The first installment of the author's popular series features the unusual detective team of award-winning reporter Jim Qwilleran and Koko, his brilliant Siamese cat, who penetrate the world of modern art to solve a mystery."
620,0515095826,The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,Jove Books,Fiction,"Qwilleran and his feline friends believe that the accidental death of a local publisher is actually murder, but an amorous lady, a strangely merry widow, and a desperate stranger may stop them from ever learning the truth"
621,0515111279,The Cat Who Wasn't There,Lilian Jackson Braun,1994,Jove Books,,
622,0385475713,Alias Grace,Margaret Atwood,1996,Nan A. Talese,Fiction,"Takes readers into the life and mind of Grace Marks, one of the most notorious women of the 1840s, who is serving a life sentence for murders she claims she cannot remember. 200,000 first printing. $200,000 ad/promo. Tour."
623,0553375407,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,Fiction,"An award-winning, compelling novel of spiritual adventure about a gorilla named Ishmael, who possesses immense wisdom, and the man who becomes his pupil, offers answers to the world's most pressing moral dilemmas. Reprint."
624,0151006903,Baudolino,Umberto Eco,2002,Harcourt,Shipwrecks,
625,0679744479,Written on the Body,Jeanette Winterson,1994,Vintage Books USA,Fiction,A combined love story and philosophical meditation on the body as a physical phenomenon thrusts the reader into the life of a married woman and her erotic relationship with an unidentified lover who narrates the story
626,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group,,
627,0671024248,Hearts In Atlantis,Stephen King,2000,Pocket,Fiction,"Hearts In Atlantis is composed of five interconnected, sequential narratives set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War. In ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood and that adults are sometimes not rescuers but at the heart of the terror. In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast. In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow and haunted as their own lives. And in ""Heavenly Shades of Night Are Falling,"" Bobby returns to his hometown where one final secret, and his heart's desire may await him. Full of danger, suspense, and full of heart, Hearts In Atlantis takes some listeners to a place they have never been...and others to a place they have never been able to completely leave."
628,0671034022,Mercy,Julie Garwood,2002,Pocket,Fiction,"From the #1 New York Times bestselling author of Heartbreaker comes a thrilling novel of passion and obsession featuring attorney Theo Buchanan. Like his FBI agent brother Nick, Theo Buchanan is devoted to his crime-fighting career. Unlike his brother, he works the other side of the desk as an esteemed Justice Department attorney and rarely sees on-the-field action—until he comes to the aid of Dr. Michelle Renard, a beautiful and brilliant surgeon in Bowen, Louisiana, who recently saved his own life. Michelle’s medical clinic has been vandalized, and the investigation uncovers a deadly ring of criminals bent on preserving their secrecy at any cost. They call themselves the Sowing Club: four white-collar professionals whose sophisticated crimes have amassed millions of dollars in a Cayman Islands bank account. The group is bound by a pact to leave the cash untouched until they accumulate a certain amount, but their leader, John, is distracted by and nearly bankrupt from his wife's grave illness. Knowing what must be done, John turns to his three friends to mercy-kill his wife, but the line between mercy and murder quickly vanishes.... As the relentless and cold-blooded Sowing Club sets out to silence Michelle, the one person who has information that could destroy them, Theo confronts the lies, greed, and evil that bind the lethal foursome—and risks more than he ever has before. Michelle saved his life...now can he save hers?"
629,0440208149,An Acceptable Time,Madeleine L'Engle,1990,Laure Leaf,Juvenile Fiction,"A quiet visit with her grandparents turns into a lesson in the fluidity of time for Polly O'Keefe when she meets several strangers from overlapping temporal planes and, with them, plays a key role in a prehistoric confrontation."
630,0451151259,Eyes of the Dragon,Stephen King,1988,Penguin Putnam~mass,,
631,0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage,Fiction,"When her fiancâe Mike is left paralyzed following a tragic accident, Carrie Bell begins to question her familiar world, from her everyday life in Wisconsin to her relationships, as she sets out to rediscover her own identity."
632,0446607711,The Simple Truth,David Baldacci,1999,Warner Books,,
633,0345416880,Enchantment,Orson Scott Card,2000,Del Rey Books,Fiction,"One of the most popular contemporary authors of science fiction follows one man from ninthcentury Russia to presentday America as he struggles to rescue a princess and her kingdom, find true love, and overcome the blackest of evil. Repirnt."
634,038548951X,Sister of My Heart,Chitra Banerjee Divakaruni,2000,Anchor Pub,Fiction,"Two girls, one the daughter of an upper-caste Calcutta family, the other the daughter of the black sheep of that same family, form a sisterly bond that shatters when one of the girls discovers a dark family secret."
635,0060512806,Cryptonomicon,Neal Stephenson,2002,Avon Books,Fiction,"With this extraordinary first volume in what promises to be an epoch-making masterpiece, Neal Stephenson hacks into the secret histories of nations and the private obsessions of men, decrypting with dazzling virtuosity the forces that shaped this century. In 1942, Lawrence Pritchard Waterhouse - mathematical genius and young Captain in the U.S. Navy - is assigned to detachment 2702. It is an outfit so secret that only a handful of people know it exists, and some of those people have names like Churchill and Roosevelt. The mission of Watrehouse and Detatchment 2702-commanded by Marine Raider Bobby Shaftoe-is to keep the Nazis ignorant of the fact that Allied Intelligence has cracked the enemy's fabled Enigma code. It is a game, a cryptographic chess match between Waterhouse and his German counterpart, translated into action by the gung-ho Shaftoe and his forces. Fast-forward to the present, where Waterhouse's crypto-hacker grandson, Randy, is attempting to create a ""data haven"" in Southeast Asia - a place where encrypted data can be stored and exchanged free of repression and scrutiny. As governments and multinationals attack the endeavor, Randy joins forces with Shaftoe's tough-as-nails grandaughter, Amy, to secretly salvage a sunken Nazi sumarine that holds the key to keeping the dream of a data haven afloat. But soon their scheme brings to light a massive conspiracy with its roots in Detachment 2702 linked to an unbreakable Nazi code called Arethusa. And it will represent the path to unimaginable riches and a future of personal and digital liberty...or to universal totalitarianism reborn. A breathtaking tour de force, and Neal Stephenson's most accomplished and affecting work to date, CRYPTONOMICON is profound and prophetic, hypnotic and hyper-driven, as it leaps forward and back between World War II and the World Wide Web, hinting all the while at a dark day-after-tomorrow. It is a work of great art, thought, and creative daring; the product of a truly icon"
636,0060972459,Tracks RI,Louise Erdrich,2004,Perennial,Fiction,"Set in North Dakota at a time in this century when Indian tribes were struggling to keep what little remained of their lands, Tracks is a tale of passion and deep unrest. Over the course of ten crucial years, as tribal land and trust between people erode ceaselessly, men and women are pushed to the brink of their endurance--yet their pride and humor prohibit surrender. The reader will experience shock and pleasure in encountering a group of characters that are compelling and rich in their vigor, clarity, and indomitable vitality."
637,0060975547,Love Medicine,Louise Erdrich,1993,Perennial,Fiction,A story of the intertwined fates of the Kashpaws and the Lamartines near a North Dakota reservation from 1934 to 1984.
638,0812505166,Wuthering Heights,Emily Bronte,1989,Tor Classics,Fiction,The passionate love of Catherine Earnshaw and Heathcliff mirrors the powerful moods of the Yorkshire moors
639,0446516570,Up Country: A Novel,Nelson DeMille,2002,Warner Books,Fiction,"Retired Army investigator Paul Brenner is called back into service to investigate the death of a soldier thirty years earlier in Vietnam--a case that stirs up many unpleasant memories. 1,000,000 first printing."
640,0345434773,Evensong (Ballantine Reader's Circle),Gail Godwin,2000,Ballantine Books,Fiction,"Narrates the life of a young female Episcopal priest in High Balsam, a small, economically distressed Smoky Mountain town, which is shaken up by the arrival of three strangers"
641,0515122491,The Maze,Catherine Coulter,1998,Jove Books,Fiction,FBI Special Agent Dillon Savich teams up with new agent Lacey Sherlock in a case that leads them back to the murder of Sherlock's sister seven years ago-and put both their lives on the line.
642,0515131091,Out of This World,J. D. Robb,2001,Jove Books,Fiction,"Collects paranormal and futuristic romantic stories, including a cop caught up in an off-world murder case, an unusual love triangle, a witch's search for the love of one man, and the longing of a telepath for human contact."
643,0140265686,Out to Canaan (The Mitford Years),Jan Karon,1998,Viking Books,Fiction,"In the small town of Mitford, recotr Father Tim and his lovely wife Cynthia ponder their retirement plans, trying to raise their young charge, Dooley, and find Dooley's missing, abandoned siblings, while a brash mayoral candidate is calling for development and ""progress."" Reprint."
644,0140257934,"These High, Green Hills (The Mitford Years)",Jan Karon,1997,Viking Books,Fiction,"Mitford rector Father Tim faces the new challenges of matirmony after he marries his vivacious Cynthia, from the trials and tribulations of the parish's new computer, to redecorating the rectory, to his dog's new sleeping arrangements. Reprint. Tour."
645,0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,Fiction,"Father Tim, rector in a small village, seeks divine intervention when his attractive neighbor, an aggressive widow, and his niece are more than he can handle alone"
646,0451524934,1984,George Orwell,1990,Signet Book,Fiction,Portrays life in a future time when a totalitarian government watches over all citizens and directs all activities.
647,0679721819,Mama Day (Vintage Contemporaries),Gloria Naylor,1989,Vintage Books USA,African American women,"Mama Day uses her ancient knowledge of herbal medicine and pits herself in mortal combat with dark forces that threaten the body and soul of her niece, Cocoa."
648,0345392825,Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),Mary Pipher,1995,Ballantine Books,Family &amp; Relationships,"Describes the psychological pitfalls faced by teenage girls growing up in a dangerous world in which violence, sexual harassment, eating disorders, promiscuity, and drug use have become the norm"
649,0671027123,All Through the Night (Holiday Classics),Mary Higgins Clark,1999,Pocket,,
650,0449225151,A Place Called Freedom,Ken Follett,1996,Fawcett Books,Fiction,"Rebelling against the unfair and hazardous conditions in the 1766 Scottish coal mines, young Mack McAsh attracts the attention of headstrong Lizzie Hallim"
651,0345350499,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,Fiction,"Retells the legend of Arthur as perceived by Viviane, the Lady of the Lake and high priestess of Avalon, Arthur's mother Igraine, his Christian wife Guinevere, and the sorceress Morgaine"
652,0312976275,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Paperbacks,Fiction,"In her latest adventure, sexy Trenton bounty hunter Stephanie Plum joins vice cop Joe Morelli in a search for Ranger, a bounty hunter on the run, just when Grandma Mazur decides to move in with Stephanie and Rex, her hamster. Reprint."
653,0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,Fiction,"Plus-sized Jemima Jones struggles with weight, dating, and work issues as she navigates a treacherous world dominated by thinner women, in the U.S. debut of a best-selling British novelist. Reprint. 40,000 first printing."
654,0373242328,"The Perfect Neighbor (The Macgregors) (The Macgregors : Special Edition Series, No 1232)",Nora Roberts,1999,Silhouette,,
655,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,England,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches. Illustrated by Mary GrandPre'."
656,0316089699,Sea Glass: A Novel,Anita Shreve,2003,Back Bay Books,Fiction,"With all the narrative power and emotional immediacy that have made her novels acclaimed international bestsellers, Anita Shreve unfolds a richly engaging tale of marriage, money, and troubled times-the story of a pair of young newlyweds who, setting out to build a life together in a derelict beach house on the Atlantic coast, soon discover how threatening the world outside their front door can be."
657,0140348107,My Side of the Mountain,Jean Craighead George,2000,Scott Foresman (Pearson K-12),Audiocassettes,Young Sam Gribley spends a winter alone in the Catskills by living off the land.
658,0375701427,American Pastoral,Philip Roth,1998,Vintage,Fiction,"The rise and fall of the American Dream provide the backdrop for the story of Swede Levov, a prosperous New Jersey man and grandson of immigrants, whose fanatical daughter bombs a post office in 1968. Reprint. 100,000 first printing."
659,0330312367,Year In Provence,Peter Mayle,1994,Pan Books Ltd,,
660,0060936363,Portrait in Sepia : A Novel,Isabel Allende,2002,Perennial,Fiction,"Lacking all memory of the first five years of her life because of a brutal trauma, Aurora del Valle is raised by her regal grandmother Paulina and eventually seeks to confront the mystery of her past, in a novel set in late-nineteenth-century Chile. Reader's Guide available. Reprint."
661,038082101X,Daughter of Fortune: A Novel,Isabel Allende,2001,HarperTorch,Fiction,"Raised in the British colony of Valparaiso, Chile, after being abandoned as a baby, a pregnant Eliza follows her lover, Joaquin Andieta, to California at the height of the Gold Rush and finds adventure and adversity on her road to independence and love. Reprint. Oprah's Book Club"
662,1558747028,Chicken Soup for the College Soul : Inspiring and Humorous Stories for College Students (Chicken Soup for the Soul),Jack Canfield,1999,Health Communications,Self-Help,Offers advice and counsel on everything from homesickness to partying to grades.
663,0671708635,Seven Habits Of Highly Effective People,Stephen R. Covey,1990,Free Press,Character,"In The 7 Habits of Highly Effective People, author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity -- principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates."
664,0553377884,Skinny Legs and All,Tom Robbins,1995,Bantam,Fiction,"When an Arab and a Jew open a restaurant across the street from the U.N., a host of tragic and triumphant characters descend on the strange establishment"
665,0061092088,Dangerous to Know,Barbara Taylor Bradford,1996,HarperTorch,Fiction,"That is why the police are profoundly baffled when Sebastian Locke is found dead at his country estate under mysterious circumstances. Has he been murdered? And if so, who would have wanted to kill the world's greatest philanthropist? Could such an upstanding man have had enemies? As in all of her previous bestsellers, Barbara Taylor Bradford engages you from the very first page in this startling new novel. From Connecticut to Provence, Paris, London, and Africa, Bradford masterfully steers you through the turbulent emotional gamut of Locke family life -- the love, lust, and passion, the ambition, jealousy and pain."
666,0425162788,Politika (Tom Clancy's Power Plays (Paperback)),Tom Clancy,1999,Berkley Publishing Group,Fiction,"In the turmoil following the sudden death of the Russian president, American businessman Roger Gordian finds his multinational corporation and its employees in jeopardy, and he sets out to find the terrorists responsible for the assassination"
667,0451208811,Blood Orchid,Stuart Woods,2003,Signet Book,Fiction,"Grieving over the loss of her fiance, Chief of Police Holly Barker joins forces with a handsome FBI agent to investigate the murders of two Miami businessmen, following clues that lead into the middle of a lethal real-estate scam."
668,0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,Fiction,"A totalitarian regime has ordered all books to be destroyed, but one of the book burners suddenly realizes their merit, in a chilling novel of a frightening near-future world. Reissue."
669,0812550706,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,Fiction,"Winner of the Hugo and Nebula Awards In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training. Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives. Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel. THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings"
670,0553580302,"House Harkonnen (Dune: House Trilogy, Book 2)",Brian Herbert,2001,Spectra Books,,
671,0441102670,"Chapterhouse Dune (Dune Chronicles, Book 6)",Frank Herbert,1996,ACE Charter,Fiction,"Fifteen thousand years after Leto II's death, the remnants of the Bene Gesserit contend with the ruthless leaders of an alien culture to forge a new civilization and preserve the best of the Old Empire"
672,0441328008,"Heretics of Dune (Dune Chronicles, Book 5)",Frank Herbert,1996,ACE Charter,Fiction,"Thousands of years after the death of God Emperor Leto II, the Bene Gesserit and the Bene Tleilax struggle to direct the future of Dune, now called Rakis"
673,0441294677,"God Emperor of Dune (Dune Chronicles, Book 4)",Frank Herbert,1991,ACE Charter,,
674,0441104029,"Children of Dune (Dune Chronicles, Book 3)",Frank Herbert,1991,Ace Books,,
675,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books,Fiction,"Haunted since birth by a mysterious doppelgèanger known as Goblin, Quinn Blackwood seeks out the legendary vampire Lestat to free him from the horrifying specter that draws him back to Sugar Devil Swamp and its dark secrets."
676,0345378482,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,Fiction,A team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite
677,0671758896,"Loves Music, Loves to Dance",Mary Higgins Clark,1992,Pocket,,
678,0345348109,The Killer Angels,Michael Shaara,1993,Ballantine Books,"Gettysburg, Battle of, Gettysburg, Pa., 1863","In the four most bloody and courageous days of our nation's history, two armies fought for two dreams. One dreamed of freedom, the other of a way of life."
679,0451177096,Dolores Claiborne,Stephen King,2004,Signet Book,Fiction,"Forced by overwhelming evidence to confess her life of crime, Dolores Claiborne, a foul-tempered New Englander, describes how her disintegrating marriage years before caused her heart to turn murderous"
680,0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books,Fiction,"In a New York Times best-seller, the queen of vampire fiction begins a new erotic, chilling series with the history of a beautiful but deadly vampire from ancient Rome to present-day Paris. Reprint."
681,0441328091,The Hero and the Crown,Robin McKinley,1989,ACE Charter,,
682,0684818868,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,James W. Loewen,1996,Touchstone,History,"Criticizes the way history is presented in current textbooks, and suggests a fresh and more accurate approach to teaching American history"
683,0812513754,"Lord of Chaos (The Wheel of Time, Book 6)",Robert Jordan,1995,Tor Fantasy,Fiction,"The Wheel of Time ® is a PBS Great American Read Selection! Now in development for TV! Since its debut in 1990, The Wheel of Time® by Robert Jordan has captivated millions of readers around the globe with its scope, originality, and compelling characters. The Wheel of Time turns and Ages come and go, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. In the Third Age, an Age of Prophecy, the World and Time themselves hang in the balance. What was, what will be, and what is, may yet fall under the Shadow. On the slopes of Shayol Ghul, the Myrddraal swords are forged, and the sky is not the sky of this world; In Salidar the White Tower in exile prepares an embassy to Caemlyn, where Rand Al'Thor, the Dragon Reborn, holds the throne--and where an unexpected visitor may change the world.... In Emond's Field, Perrin Goldeneyes, Lord of the Two Rivers, feels the pull of ta'veren to ta'veren and prepares to march... Morgase of Caemlyn finds a most unexpected, and quite unwelcome, ally....And south lies Illian, where Sammael holds sway... TV series update: ""Sony will produce along with Red Eagle Entertainment and Radar Pictures. Rafe Judkins is attached to write and executive produce. Judkins previously worked on shows such as ABC’s “Agents of SHIELD,” the Netflix series “Hemlock Grove,” and the NBC series “Chuck.” Red Eagle partners Rick Selvage and Larry Mondragon will executive produce along with Radar’s Ted Field and Mike Weber. Darren Lemke will also executive produce, with Jordan’s widow Harriet McDougal serving as consulting producer."" —Variety The Wheel of Time® New Spring: The Novel #1 The Eye of the World #2 The Great Hunt #3 The Dragon Reborn #4 The Shadow Rising #5 The Fires of Heaven #6 Lord of Chaos #7 A Crown of Swords #8 The Path of Daggers #9 Winter's Heart #10 Crossroads of Twilight #11 Knife of Dreams By Robert Jordan and Brandon Sanderson #12 The Gathering Storm #13 Towers of Midnight #14 A Memory of Light By Robert Jordan and Teresa Patterson The World of Robert Jordan's The Wheel of Time By Robert Jordan, Harriet McDougal, Alan Romanczuk, and Maria Simons The Wheel of Time Companion By Robert Jordan and Amy Romanczuk Patterns of the Wheel: Coloring Art Based on Robert Jordan's The Wheel of Time"
684,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy,,
685,0812513738,"The Shadow Rising (The Wheel of Time, Book 4)",Robert Jordan,1993,Tor Fantasy,Fiction,"Perrin Aybara must return to Emond's Field to face the occupying Whitecloaks, while Rand enters the Aiel Waste and the forbidden city of Rhuidean"
686,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,Fiction,"Relates a tale of the bestial Trollocs, the witch Moiraine, and three boys, one of whom is fated to become the Dragon--the World's only hope and the sure means of its destruction"
687,0413588106,Growing Pains of Adrian Mole,Sue Townsend,1994,Methuen Publishing Ltd,Adolescence,"Den nu 15-årige Adrians forhold til både forældrene og Pandora er stadig lige uroligt, og da familien bliver forøget med en lillesøster, føler Adrian sig efterhånden på kanten af desperation!"
688,0425122123,Clear and Present Danger (Jack Ryan Novels),Tom Clancy,1996,Berkley Publishing Group,Fiction,The assassinations of the U.S. ambassador and the visiting head of the F.B.I. by Colombian drug lords trigger a mysterious covert response and an investigation of U.S. and Colombian actions by Jack Ryan. Reissue.
689,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,Marina (Calif.),
690,0060922532,Pigs in Heaven,Barbara Kingsolver,1994,Perennial,,
691,0786864133,Napalm & Silly Putty,George Carlin,2001,Hyperion,,
692,0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company,Bars (Drinking establishments),
693,0440224039,True Crime: The Novel,Andrew Klavan,1997,Dell,Fiction,"Reporter Steve Everett must race against time and will stop at nothing to prove that prisoner Frank Beachum is innocent of the crime for which he is about to be executed, in this fast-paced thriller. Reprint."
694,1592400876,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,,
695,0767902513,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,1998,Bantam Dell Pub Group,Humor,"Traces the author's adventurous trek along the Appalachian Trail past its natural pleasures, human eccentrics, and offbeat comforts"
